loggin | 2021-08-03 10:51:55,270 | ERROR | Error inserting
loggin | 2021-08-03 10:51:55,282 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:51:55,282 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:51:56,737 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:51:56,737 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:51:56,752 | ERROR | Error inserting
loggin | 2021-08-03 10:51:56,752 | ERROR | Error inserting
loggin | 2021-08-03 10:51:56,760 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:51:56,760 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:18:30,699 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:18:30,699 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:18:30,718 | ERROR | Error inserting
loggin | 2021-08-03 11:18:30,718 | ERROR | Error inserting
loggin | 2021-08-03 11:18:30,728 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:18:30,728 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:36:40,359 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:36:40,359 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:36:40,427 | ERROR | Error inserting
loggin | 2021-08-03 11:36:40,427 | ERROR | Error inserting
loggin | 2021-08-03 11:36:40,435 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:36:40,435 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:37:22,482 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:37:22,482 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:37:22,498 | ERROR | Error inserting
loggin | 2021-08-03 11:37:22,498 | ERROR | Error inserting
loggin | 2021-08-03 11:37:22,507 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:37:22,507 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:49:44,754 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:49:44,754 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:49:44,768 | ERROR | Error inserting
loggin | 2021-08-03 11:49:44,768 | ERROR | Error inserting
loggin | 2021-08-03 11:49:44,777 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:49:44,777 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:49:47,186 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:49:47,186 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:49:47,200 | ERROR | Error inserting
loggin | 2021-08-03 11:49:47,200 | ERROR | Error inserting
loggin | 2021-08-03 11:49:47,206 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:49:47,206 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:52:27,614 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:52:27,614 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:52:27,632 | ERROR | Error inserting
loggin | 2021-08-03 11:52:27,632 | ERROR | Error inserting
loggin | 2021-08-03 11:52:27,642 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:52:27,642 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:52:31,047 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:52:31,047 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 11:52:31,068 | ERROR | Error inserting
loggin | 2021-08-03 11:52:31,068 | ERROR | Error inserting
loggin | 2021-08-03 11:52:31,078 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 11:52:31,078 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 12:00:20,399 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:20,399 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:20,402 | ERROR | Error inserting
loggin | 2021-08-03 12:00:20,402 | ERROR | Error inserting
loggin | 2021-08-03 12:00:20,403 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:20,403 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:24,198 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:24,198 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:24,204 | ERROR | Error inserting
loggin | 2021-08-03 12:00:24,204 | ERROR | Error inserting
loggin | 2021-08-03 12:00:24,207 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:24,207 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:41,395 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:41,395 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:41,529 | ERROR | Error inserting
loggin | 2021-08-03 12:00:41,529 | ERROR | Error inserting
loggin | 2021-08-03 12:00:41,604 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:41,604 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:46,886 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:46,886 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:46,889 | ERROR | Error inserting
loggin | 2021-08-03 12:00:46,889 | ERROR | Error inserting
loggin | 2021-08-03 12:00:46,891 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:46,891 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:48,793 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:48,793 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 12:00:48,797 | ERROR | Error inserting
loggin | 2021-08-03 12:00:48,797 | ERROR | Error inserting
loggin | 2021-08-03 12:00:48,799 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:00:48,799 | ERROR | Error inserting 'ConfigurationError' object has no attribute 'super'
loggin | 2021-08-03 12:05:45,392 | ERROR | Mongo Connection error Username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus().
loggin | 2021-08-03 12:05:45,392 | ERROR | Mongo Connection error Username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus().
loggin | 2021-08-03 12:05:45,399 | ERROR | Error inserting
loggin | 2021-08-03 12:05:45,399 | ERROR | Error inserting
loggin | 2021-08-03 12:05:45,402 | ERROR | Error inserting 'InvalidURI' object has no attribute 'super'
loggin | 2021-08-03 12:05:45,402 | ERROR | Error inserting 'InvalidURI' object has no attribute 'super'
loggin | 2021-08-03 12:05:47,253 | ERROR | Mongo Connection error Username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus().
loggin | 2021-08-03 12:05:47,253 | ERROR | Mongo Connection error Username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus().
loggin | 2021-08-03 12:05:47,260 | ERROR | Error inserting
loggin | 2021-08-03 12:05:47,260 | ERROR | Error inserting
loggin | 2021-08-03 12:05:47,263 | ERROR | Error inserting 'InvalidURI' object has no attribute 'super'
loggin | 2021-08-03 12:05:47,263 | ERROR | Error inserting 'InvalidURI' object has no attribute 'super'
loggin | 2021-08-03 12:07:36,774 | ERROR | Mongo Connection error Username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus().
loggin | 2021-08-03 12:07:36,774 | ERROR | Mongo Connection error Username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus().
loggin | 2021-08-03 12:07:36,784 | ERROR | Error inserting
loggin | 2021-08-03 12:07:36,784 | ERROR | Error inserting
loggin | 2021-08-03 12:07:36,787 | ERROR | Error inserting 'InvalidURI' object has no attribute 'super'
loggin | 2021-08-03 12:07:36,787 | ERROR | Error inserting 'InvalidURI' object has no attribute 'super'
loggin | 2021-08-03 12:07:44,471 | ERROR | Error inserting
loggin | 2021-08-03 12:07:44,471 | ERROR | Error inserting
loggin | 2021-08-03 12:07:44,472 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:07:44,472 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:07:50,180 | ERROR | Error inserting
loggin | 2021-08-03 12:07:50,180 | ERROR | Error inserting
loggin | 2021-08-03 12:07:50,181 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:07:50,181 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:07:52,472 | ERROR | Error inserting
loggin | 2021-08-03 12:07:52,472 | ERROR | Error inserting
loggin | 2021-08-03 12:07:52,473 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:07:52,473 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:09:42,059 | ERROR | Error inserting
loggin | 2021-08-03 12:09:42,059 | ERROR | Error inserting
loggin | 2021-08-03 12:09:42,059 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:09:42,059 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:09:45,068 | ERROR | Error inserting
loggin | 2021-08-03 12:09:45,068 | ERROR | Error inserting
loggin | 2021-08-03 12:09:45,070 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:09:45,070 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:20:56,501 | ERROR | Error inserting
loggin | 2021-08-03 12:20:56,501 | ERROR | Error inserting
